chromosome,neutral_rate,observed_rate,RS
ACmerged_contig_10026,3.42,2.34,1.08
ACmerged_contig_10026,3.42,2.5,0.92
ACmerged_contig_10026,3.42,2.52,0.9
ACmerged_contig_10026,3.42,2.35,1.07
ACmerged_contig_10026,3.42,2.35,1.07
ACmerged_contig_10026,3.42,1.58,1.84
ACmerged_contig_10026,3.42,-1.18,4.6
ACmerged_contig_10026,3.42,2.52,0.9
ACmerged_contig_10026,3.45,2.24,1.21
ACmerged_contig_10026,3.45,2.38,1.07
ACmerged_contig_10026,3.45,2.54,0.91
ACmerged_contig_10026,3.45,0.508,2.942
ACmerged_contig_10026,3.45,2.38,1.07
ACmerged_contig_10026,3.45,2.55,0.9
ACmerged_contig_10026,3.45,1.61,1.84
ACmerged_contig_10026,3.45,2.29,1.16
ACmerged_contig_10026,3.45,-6.9,10.35
ACmerged_contig_10026,3.45,2.55,0.9
ACmerged_contig_10026,3.45,1.52,1.93
ACmerged_contig_10026,3.45,-0.216,3.666
ACmerged_contig_10026,3.45,2.55,0.9
ACmerged_contig_10026,3.45,2.55,0.9
ACmerged_contig_10026,3.45,0.952,2.498
ACmerged_contig_10026,3.44,0.436,3.004
ACmerged_contig_10026,3.44,-4.33,7.77
ACmerged_contig_10026,3.44,2.54,0.9
ACmerged_contig_10026,3.44,1.43,2.01
ACmerged_contig_10026,3.44,2.37,1.07
ACmerged_contig_10026,3.44,2.54,0.9
ACmerged_contig_10026,3.44,-0.374,3.814
ACmerged_contig_10026,3.41,1.66,1.75
ACmerged_contig_10026,3.41,0.688,2.722
ACmerged_contig_10026,3.41,2.24,1.17
ACmerged_contig_10026,3.41,2.5,0.91
ACmerged_contig_10026,3.41,2.18,1.23
ACmerged_contig_10026,3.41,1.43,1.98
ACmerged_contig_10026,3.41,1.56,1.85
ACmerged_contig_10026,3.41,2.2,1.21
ACmerged_contig_10026,3.41,0.614,2.796
ACmerged_contig_10026,3.41,2.5,0.91
ACmerged_contig_10026,3.41,-1.85,5.26
ACmerged_contig_10026,3.41,0.96,2.45
ACmerged_contig_10026,3.41,0.699,2.711
ACmerged_contig_10026,3.41,-0.381,3.791
ACmerged_contig_10026,3.41,2.51,0.9
ACmerged_contig_10026,3.41,2.24,1.17
ACmerged_contig_10026,3.41,-1.34,4.75
ACmerged_contig_10026,3.41,1.61,1.8
ACmerged_contig_10026,3.41,1.58,1.83
ACmerged_contig_10026,3.41,2.51,0.9
ACmerged_contig_10026,3.41,1.38,2.03
ACmerged_contig_10026,3.41,1.56,1.85
ACmerged_contig_10026,3.4,2.5,0.9
ACmerged_contig_10026,3.36,2.15,1.21
ACmerged_contig_10026,3.36,2.37,0.99
ACmerged_contig_10026,3.36,1.44,1.92
ACmerged_contig_10026,3.36,0.888,2.472
ACmerged_contig_10026,3.33,1.49,1.84
ACmerged_contig_10026,3.33,1.14,2.19
ACmerged_contig_10026,3.33,-0.426,3.756
ACmerged_contig_10026,3.3,1.46,1.84
ACmerged_contig_10026,3.3,2.09,1.21
ACmerged_contig_10026,3.3,-1.9,5.2
ACmerged_contig_10026,3.26,2.36,0.9
ACmerged_contig_10026,3.26,2.05,1.21
ACmerged_contig_10026,3.17,0.25,2.92
ACmerged_contig_10026,3.17,2.25,0.92
ACmerged_contig_10026,3.17,0.948,2.222
ACmerged_contig_10026,3.15,1.84,1.31
ACmerged_contig_10026,3.15,0.729,2.421
ACmerged_contig_10026,3.15,1.92,1.23
ACmerged_contig_10026,3.15,2.23,0.92
ACmerged_contig_10026,3.15,0.857,2.293
ACmerged_contig_10026,3.15,0.111,3.039
ACmerged_contig_10026,3.15,2.23,0.92
ACmerged_contig_10026,3.13,1.91,1.22
ACmerged_contig_10026,3.13,2.26,0.87
ACmerged_contig_10026,3.13,0.926,2.204
ACmerged_contig_10026,3.13,-4.61,7.74
ACmerged_contig_10026,3.13,1.28,1.85
ACmerged_contig_10026,3.15,1.94,1.21
ACmerged_contig_10026,3.15,1.9,1.25
ACmerged_contig_10026,3.15,2.26,0.89
ACmerged_contig_10026,3.15,0.556,2.594
ACmerged_contig_10026,3.15,1.9,1.25
ACmerged_contig_10026,3.15,2.22,0.93
ACmerged_contig_10026,3.1,1.85,1.25
ACmerged_contig_10026,3.1,-3.21,6.31
ACmerged_contig_10026,3.1,2.14,0.96
ACmerged_contig_10026,3.1,2.21,0.89
ACmerged_contig_10026,3.1,1.92,1.18
ACmerged_contig_10026,3.1,0.449,2.651
ACmerged_contig_10026,3.1,2.22,0.88
ACmerged_contig_10026,3.1,1.02,2.08
ACmerged_contig_10026,3.1,0.902,2.198
ACmerged_contig_10026,3.1,1.87,1.23
ACmerged_contig_10026,3.08,2.17,0.91
ACmerged_contig_10026,3.06,-4.39,7.45
ACmerged_contig_10026,3.08,2.18,0.9
ACmerged_contig_10026,3.08,0.405,2.675
ACmerged_contig_10026,3.08,2.17,0.91
ACmerged_contig_10026,3.08,2.18,0.9
ACmerged_contig_10026,3.08,1.98,1.1
ACmerged_contig_10026,3.03,2.16,0.87
ACmerged_contig_10026,3.03,1.18,1.85
ACmerged_contig_10026,3.03,2.12,0.91
ACmerged_contig_10026,3.03,1.24,1.79
ACmerged_contig_10026,3.06,1.84,1.22
ACmerged_contig_10026,3.06,1.15,1.91
ACmerged_contig_10026,3.81,2.94,0.87
ACmerged_contig_10026,3.81,2.74,1.07
ACmerged_contig_10026,3.81,1.99,1.82
ACmerged_contig_10026,3.81,2.72,1.09
ACmerged_contig_10026,3.81,2.9,0.91
ACmerged_contig_10026,3.81,2.93,0.88
ACmerged_contig_10026,3.81,2.73,1.08
ACmerged_contig_10026,3.81,1.97,1.84
ACmerged_contig_10026,3.81,2.04,1.77
ACmerged_contig_10026,3.81,-1.52,5.33
ACmerged_contig_10026,3.81,1.21,2.6
ACmerged_contig_10026,3.81,2.83,0.98
ACmerged_contig_10026,3.81,2.91,0.9
ACmerged_contig_10026,3.81,2.74,1.07
ACmerged_contig_10026,3.81,2.76,1.05
ACmerged_contig_10026,3.81,2.74,1.07
ACmerged_contig_10026,3.81,2.91,0.9
ACmerged_contig_10026,3.81,-4.23,8.04
ACmerged_contig_10026,3.81,1.63,2.18
ACmerged_contig_10026,3.81,2.94,0.87
ACmerged_contig_10026,3.81,2.03,1.78
ACmerged_contig_10026,3.81,1.31,2.5
ACmerged_contig_10026,3.81,2.91,0.9
ACmerged_contig_10026,3.81,2.73,1.08
ACmerged_contig_10026,3.81,2.93,0.88
ACmerged_contig_10026,3.81,2.75,1.06
ACmerged_contig_10026,3.81,2.74,1.07
ACmerged_contig_10026,3.81,2.9,0.91
ACmerged_contig_10026,3.81,-1.26,5.07
ACmerged_contig_10026,3.81,-0.0672,3.8772
ACmerged_contig_10026,3.81,-2.05,5.86
ACmerged_contig_10026,3.81,2.9,0.91
ACmerged_contig_10026,3.81,0.0831,3.7269
ACmerged_contig_10026,3.81,-1.49,5.3
